,rmse,coverage
s_50_t_10_dgp_additive,0.18798379551105798,0.9736
s_50_t_1_dgp_additive,0.7741829933049902,0.8832
s_50_t_5_dgp_additive,0.2733945314197693,0.9752
s_100_t_10_dgp_additive,0.1897125212120676,0.9808
s_100_t_1_dgp_additive,0.7604623090902157,0.8676
s_100_t_5_dgp_additive,0.29618963044787416,0.9672
s_500_t_10_dgp_additive,0.1849936279023079,0.9772
s_500_t_1_dgp_additive,0.7441510850664449,0.8948
s_500_t_5_dgp_additive,0.27522895455173313,0.9752
s_1000_t_10_dgp_additive,0.1924824324636944,0.9748
s_1000_t_1_dgp_additive,0.7363532941167783,0.8728
s_1000_t_5_dgp_additive,0.2772714501132399,0.9736
s_5000_t_10_dgp_additive,0.19461085167814643,0.9736
s_5000_t_1_dgp_additive,0.7964271430894054,0.854
s_5000_t_5_dgp_additive,0.2790228636798272,0.9724
