dataset,sample_size,n_trees,non_marg_runtime,marg_runtime
1201_BNG_breastTumor,100,5,1.507702984653103,0.2018770029923568
1201_BNG_breastTumor,100,10,0.2230157459853217,0.6099164153565653
1201_BNG_breastTumor,100,20,0.4434533096694698,2.5325564199786945
1201_BNG_breastTumor,100,40,0.8784057263401337,21.218899258994497
1201_BNG_breastTumor,500,5,0.14929083434011167,0.3950510846528535
1201_BNG_breastTumor,500,10,0.3000399893304954,1.194042143644765
1201_BNG_breastTumor,500,20,0.5136195843224414,5.267608586989809
1201_BNG_breastTumor,500,40,1.0578611003390204,53.695773547321245
1201_BNG_breastTumor,1000,5,0.16224904467041293,0.5486961966768528
1201_BNG_breastTumor,1000,10,0.35987693366284174,1.882564940994295
1201_BNG_breastTumor,1000,20,0.6628156833467074,10.579566409345716
1201_BNG_breastTumor,1000,40,1.3220453719841316,83.24642955331365
california_housing,100,5,0.1444409663284508,0.2630033619934693
california_housing,100,10,0.21745750199382505,0.6397937959991395
california_housing,100,20,0.46947465763272095,2.704665905679576
california_housing,100,40,0.8688621049902091,22.650959400983993
california_housing,500,5,0.16569396967922026,0.6095873996576605
california_housing,500,10,0.347921630658675,1.849942158985262
california_housing,500,20,0.6571342733028965,6.693381282675546
california_housing,500,40,1.0722717156556125,59.0648847593111
california_housing,1000,5,0.27255215303739533,0.933597647313339
california_housing,1000,10,0.5214808526798151,3.316261531668715
california_housing,1000,20,0.7549839836816924,18.01106688766352
california_housing,1000,40,1.463743303339773,96.47017789601038
1199_BNG_echoMonths,100,5,0.11789064231561497,0.2026060059821854
1199_BNG_echoMonths,100,10,0.24029355765863633,0.5983289260184392
1199_BNG_echoMonths,100,20,0.4279481923246446,2.40668403134138
1199_BNG_echoMonths,100,40,0.8376442373264581,22.771005834996078
1199_BNG_echoMonths,500,5,0.13681033267251527,0.3788491246717361
1199_BNG_echoMonths,500,10,0.25093476800248027,1.1742576613517788
1199_BNG_echoMonths,500,20,0.4771618569890658,5.339177519335256
1199_BNG_echoMonths,500,40,1.0504822730047938,53.31111673999112
1199_BNG_echoMonths,1000,5,0.1854622983179676,0.5314066150070479
1199_BNG_echoMonths,1000,10,0.30134388701602194,1.6653063990136918
1199_BNG_echoMonths,1000,20,0.5858850693330169,9.580925307663469
1199_BNG_echoMonths,1000,40,1.2442176203476265,71.54702442901907
294_satellite_image,100,5,0.20324326968208575,0.2443147943316338
294_satellite_image,100,10,0.3516719273175113,0.7628227279831966
294_satellite_image,100,20,0.521384100332701,2.8668631316589503
294_satellite_image,100,40,1.2135495016506563,25.10314184196371
294_satellite_image,500,5,0.19967775332042947,0.6641543070048405
294_satellite_image,500,10,0.3170181860138352,1.7998161866756466
294_satellite_image,500,20,0.6647955479954059,9.325715169640413
294_satellite_image,500,40,1.1782704059927103,63.6499393620179
294_satellite_image,1000,5,0.3037356249988079,1.2056654026770655
294_satellite_image,1000,10,0.47527033432076377,4.718587520338285
294_satellite_image,1000,20,0.9071590913614879,24.642236635651596
294_satellite_image,1000,40,1.628138131656063,108.93479723267956
